PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
5144,"BOHEMIA
642-690 West 6th Avenue
Vancouver, BC
V5Z 1A3",BCS1849,"KN
(AW is Admin)"
"5145
5145-1 (638 Beach Cres., Tower 1 + TH)
5145-2 (633 Kinghorne, Tower 2)
","ICON
N Tower 610 Beach Crescent V6Z 3H5
630 Beach Crescent V6Z 3H5
638 Beach Crescent V6Z 3H4    
O Tower 633 Kinghorne Mews V6Z 3H3
610, 630 Beach Crescent (Townhouse)
",BCS1964,FY
5146,ICON PARKING/CLUB OASIS,,FY
"5147
5147E (8 & 10 Renaissance Sq.)
5147W (7 Rialto Ct.)
","MURANO LOFTS
7 Rialto Court V3M 7A8
8 Renaissance Square V3M 7A9
10 Renaissance Square V3M 7B1
New Westminster, BC",BCS1347,"SR/HB
(SR is Senior PM)
(Vivivan C. is Admin)

"
5149,"PERLA (COMMERCIAL)
8188 Saba Road
Richmond, BC
V6Y 4B2",BCS282,CKS
5150,"PERLA (JOINT)
8100 Saba Road V6Y 4H1
6331 Buswell Street V6Y 4H2
Richmond, BC",BCS282,RY
5156,"THE BOWMAN (JOINT)
528 Beatty Street
Vancouver, BC
V6B 2L3",BCS2186,"KD
"
5161,"CRESTMARK
1228-1288 Marinaside Crescent
Vancouver, BC
V6Z 2W4
V6Z 2W5



",LMS2781,"BL/SR
(Vivian C. is Admin)"
5162,"POMARIA
1455 Howe Street
Vancouver, BC
V6Z 1C2

1437, 1439, 1441, 1443, 1445, 1447, 1449, 1451, 1457, 1459, 1461, 1463, 1465, 1467, 1469, 1471, 1473 Howe Street / 804, 806, 808, 810 Pacific Street (Townhouses)",BCS2495,BK
5163,"FREESIA (COMMERCIAL)
575, 585 Helmcken Street  
 1088,1092 Seymour Street       
Vancouver, BC 
",BCS1903,CL
5164-10,"PINTURA (JOINT)
1530 West 8th Avenue
Vancouver, BC
V6J 5M6

TH:1532, 1536, 1538, 1556, 1558, 1566, 1568, 1576, 1578, and 1580 West 8th Avenue, Vancouver, BC",BCS1362,"CF
"
5167,"SPECTRUM 1&2
Tower 1 
 111 West Georgia Street    
 Vancouver, BC   
 V6B 1T8   
 
 Tower 2    
 668 Citadel Parade    
 Vancouver, BC
 V6B 1W6",BCS2478,JT
5168,"CLUB OZONE
 111 West Georgia Street    
 Vancouver, BC   ",,JT
5170,"SPECTRUM 3
131 Regiment Square
101-129 Regiment Square
Vancouver, BC
V6B 1X6",BCS2577,CL
5176,"INFINITY
13618 100th Avenue
Surrey, BC
V3T 0A8",BCS2785,"CZ/TL
(CZ's Admin)
"
5183,"COOPERS LOOKOUT
33 Smithe Street
Vancouver, BC
V6B 0B5
Villas: 9 Smithe Mews, V6B 0B6
TH's: 11, 17, 19, 21, 23, 27 Smithe Mews, V6B 0B6
Lofts: 29 Smithe Mews, V6B 0B6
",BCS3127,YM
5184,"ESPRIT CITY CLUB
33 Smithe Street
Vancouver, BC
V6B 0B5",,YM
"5186
5186-10 for Residential 
5186-20 for Commercial","DEL PRADO (JOINT)
1155 Mainland
Vancouver, BC
V6B 5P2

",LMS2146,"KZ
"
"5198
5255-1 (Tower 1)
5255-2 (Tower 2)


","TV TOWERS (RESIDENTIAL)
Tower 1
788 Hamilton Street
Vancouver, BC 
V6B 0E9

Tower 2
233 Robson Street
Vancouver, BC 
V6B 0E8",BCS3407,JT
"5199
5199N (North Tower)
5199S (South Tower)
","VICTORIA HILL (RESIDENTIAL)
11 & 15 Royal Avenue
New Westminster, BC
V3L 0A8",BCS2450,DC
"5200
5200-10 Residential
5200-20 Commercial
","PALOMA ONE (JOINT)
6068 No. 3 Road
Richmond, BC
V6Y 4M7
",BCS2610,RY
5201,"CREEKSIDE
125 Milross Avenue
Vancouver, BC
V6A 0A1
129,139,149,159,169 & 179 Milross Avenue V6A 0A2
910,920 & 930 Quebec Street V6A 0A3
110,118,128,138,158,160 & 168 Prior Street V6A 0A6",BCS2563,JL
5203,"DISCOVERY REACH
210 11th Street, V3M 4C9 - 5203-2A
211 12th Street, V3M 4H4 - 5203-1A
214 11th Street, V3M 4C9 - 5203-2B
215 12th Street, V3M 4H4 - 5203-1B
New Westminster, BC",LMS2687,BL
5204,"ABERDEEN RESIDENCES
8080 Cambie Road
Richmond, BC
V6X 0C1

",BCS2690,CZ
5209,"EMPORIO
6351 Buswell Street
Richmond, B.C.
V6Y 0A4",BCS2591,SY
5212,"THE BRITTANY JOINT
7088 Mont Royal Square V5S 4X7
7002-7050 Mont Royal Square V5S 4X5
3252-3292 E 54th Ave V5S 0A1
3298 E 54th Ave V5S 0A1
Vancouver, BC
",BCS1545,SC
5213,"YALE CROSSING
2632 Pauline Street
Abbotsford, BC
V2S 0C9",BCS3562,CG
5216,"ALTO (JOINT)
1205 Howe Street
Vancouver, BC
V6Z 0B2",BCS3664,BK
5218,"ATELIER RESIDENTIAL
833 Homer Street
Vancouver, B.C. 
V6B 0H4",BCS3836,BK
5220,"TV TOWERS (COMMERCIAL)
211, 235, 265 and 275 Robson Street
Vancouver, B.C. ",BCS3407,JT
5226,"ATELIER COMMERCIAL
825-845 Homer Street
410, 420, 428, 430, 438 & 450 Robson Street
Vancouver, BC",BCS3839,TL
5228,"CONFERENCE PLAZA (RESIDENTIAL)
438 Seymour Street
Vancouver, B.C.
V6B 6H4 
",LMS2371,SR
5229,"JARDINE'S LOOKOUT
867 Hamilton Street
Vancouver, B.C.
V6B 6B7
",LMS1716,SC
5232,"MINORU
7371 Minoru Blvd.
Richmond, BC
V6Y 1Z3",NW2697,CKS
"5234
","DONOVAN
1055 Richards Street
Vancouver, BC
V6B 0C2

Townhouses 1045, 1047, 1049, 1051, 1053, 1057, 1059, 1061, 1063 & 1065 Richards St.


",BCS3395,KC
5235,PALOMA PARKING,,RY
5236,"KOI (JOINT)
850 West 8th Avenue
Vancouver, BC",BCS3603,GR
5237,"SOCIAL
2329, 2339, 2349, 2359, 2369, 2379, 2389, 2399
Scotia Street 
Vancouver, BC V5T 0B2

2321 Scotia Street
Vancouver, BC
V5T 0A8

240, 250, 260, 270, 280, 290 
East 7th Avenue 
Vancouver, BC V5T 0B4
",BCS4075,SA
"5238
5238A (Tower A, 5028 Kwantlen)
5238B (Tower B, 5068 Kwantlen)
5238C (Tower C, 5088 Kwantlen)
5238D (Tower D, 5168 Kwantlen)
","SEASONS
5028 Kwantlen Street V6X 4K2
5068 Kwantlen Street V6X 4K4
5088 Kwantlen Street V6X 4K5
5168 Kwantlen St. V6X 0A2
Richmond, B.C.",BCS1861,KZ
5240,"WEST PENDER PLACE (COMMERCIAL)
1477 West Pender
1409 West Pender
1425, 1427, 1433, 1437, 1455, 1463, 1467, 1483, 1487, 1499 West Pender
595 Broughton Street
Vancouver, B.C.
",EPS390,SA
