PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
"5395
5395-1 (East, 3107 Windsor Gate)
5395-2 (West, 1135 Windsor Mews)","BRADLEY HOUSE
3107 Windsor Gate V3B 0L1
1135 Windsor Mews V3B 0L2
Coquitlam, BC",EPS2593,CZ
"5397
5397-W (876 Keith Rd)
5397-E (870 Keith Rd)","EVELYN CLIFFSIDE FOUR (WEST)
876 Keith Road
West Vancouver, BC

EVELYN CLIFFSIDE FIVE (EAST)
870 Keith Road
West Vancouver, BC",EPS3984,KD
5398,"CITTI
238 West Broadway
Vancouver, BC V5Y 0L2",EPS3524,HB
5399,"PORTOFINO (JOINT)
1383 Howe Street
Vancouver, BC
V6Z 2R5",LMS1554,"KN
(AW is Admin)"
5419,"SIEMANS ESTATES LTD.
34313 Forrest Terrace
Abbotsford, BC
V2S 7L2","RENTAL
LMS1388",CG
5425,"WADDINGTON DEVELOPMENTS LTD.
32063 Mt. Waddington Ave.
Abbotsford, BC",RENTAL,CG
5428,"SHORELINE (Harbour Heights)
103 ? 150 Shoreline Circle
Port Moody, BC
V3H 5B3",RENTAL,AA
5429,"FRASER APARTMENTS
6462 Fraser Street
Vancouver, BC
V5W 3A4",RENTAL,KH
5432,"WILLOUGHBY TOWN CENTRE
Parcel 1 (Buildings A, B, C & D)
20678 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7

Parcel 2
20689 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3

Parcel 4
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7

Parcel 7
20780 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7


",RENTAL,TL
5441,"SFU Rentals
9191 University Crescent
Burnaby, BC
V5A 0A1",,KH
5443,THE SPOT RENTAL HOUSING ,,AA
5447,"MELVILLE MANOR
1855 West 8th Avenue
Vancouver, B.C. 
V6J 1V9

*2940 Main Street - Million Energy Homes",,"KH
(Juliana is Admin)"
5452,"QUALICO VANCOUVER
17720 65A Avenue
Surrey, B.C. V3S 5N4



",,CL
5453,"THE LEX
1249 Granville Street
Vancouver, B.C.
V6Z 1M5
","RENTAL
BCS336",VS
5455,"2175 WEST 7TH (LAWRENCE MANOR)
2175 West 7th Avenue
Vancouver, BC
V6K 1X9",N/A,KH
5456,"1960 WEST 7TH (CASA GRANDE)
1960 West 7th Avenue
Vancouver, BC
V6J 1T1",N/A,KH
5457,"WEST 41ST
2028, 2032, 2034, 2036
West 41st Avenue
Vancouver, BC",N/A,KH
5458,"354 EAST 10TH AVENUE
Vancouver, BC",N/A,KH
5460,"VALEO RENTAL
Building A
Retail - 4762 Hastings St., Burnaby 
Grocery - 4790 Hastings St., Burnaby

Building B 
Office ? 4756 Hasting St., Burnaby

Retail - 4718, 4728, and 4734 Hastings St. Burnaby

",N/A,CL
5461,"1790 152nd Street
Surrey, B.C. 
V4A 7Z7",N/A,KH
5461,"1750 152nd Street
Surrey, B.C. 
V4A 7Z7",N/A,KH
5462,"5698 Victoria Drive 
(or 2015 E 41st) 
Vancouver, B.C. 
V5P 2W4",N/A,KH
5462,"46325 Yale Road
Chilliwack, B.C. 
V2P 2P8",N/A,KH
5462,"295 Main Street
 Penticton, B.C. 
V2A 5B1",N/A,KH
5463,"5794 Victoria Drive
Vancouver, B.C. 
V5P 3W7",N/A,KH
5463,"2655 King George Blvd
Surrey, B.C. 
V4P 1H7",N/A,KH
5463,"1941 Commercial Drive
Vancouver, B.C. 
V5N 4A8",N/A,KH
5502,"SAGE
5782 Berton Avenue
Vancouver, BC V6S 0C1",BCS4265,CF
5504,PARK AVENUE CLUB,,GR
5505,"CLUB ARIA
2nd Floor - 400 Capilano Road
Port Moody, BC V3H 0E6",,FY
"5506
5506-TH","MET 2
6538 Nelson Avenue
6518, 6522, 6528, 6532, 6536, 6548, 6556, 6558 Nelson Avenue
Burnaby, BC V5H 0G5",EPS4147,FY
5508,"MELVILLE COMMERCIAL SECTION
550, 560, 570, 580 Bute Street
Vancouver BC V6E 3M1",BCS2321,CKS
5509,"MODERN COMMERCIAL SECTION
1009 Harwood Street
Vancouver, BC V6E 0C2",EPS2409,CKS
5510,MET AMENITIES,,BK
5512,"THE SPOT
2888 Cambie Street
Vancouver, BC V5Z 0H3",EPS4248,YM
5513,"FIRST AVENUE MEWS
2435 West 1st Avenue
2437 West 1st Avenue 
Vancouver, BC V6K 1H2",BCS4360,HB
5514,"GALILEO COMMERCIAL SECTION
822 Homer Street
Vancouver, BC V6B 6M3",LMS3970,CKS
5516,"THE DAWSON (JOINT)
4468 Dawson Street
Burnaby, BC V5C 0J9",EPS4242,SC
5517,"THE DAWSON (RESIDENTIAL SECTION)
4468 Dawson Street
Burnaby, BC V5C 0J9",EPS4242,SC
5518,"THE DAWSON (COMMERCIAL SECTION)
4472, 4476, 4480 Dawson Street
2225, 2229 Willingdon Avenue
Burnaby, BC V5C 0J9",EPS4242,CKS
5519,THE SPOT REMAINDER,,YM
5520,"RIVA 3
7008 River Parkway
Richmond, BC V6X 0R1",EPS3584,"CKS/KN  
(KaWing)
(AW is Admin)"
5521,"PARK AVENUE WEST
13696 100th Avenue
Surrey, BC V3T 0L5

Townhomes:
TH1-7
13720 100th Avenue 
Surrey, BC V3T 0L4",EPS4403,GR
5522,"CROWN
520 Como Lake Avenue
Coquitlam, BC V3J 0E8",EPS4454,YM
"5523
5523-A
5523-B","CENTREVIEW
Tower A: 112 East 13th Street
Tower B: 125 East 14th Street
North Vancouver, BC ",EPS3752,DC
"5525
5525-1a Alderbridge
5525-1c Cedarbridge
5525-2A","TEMPO (JOINT)
Phase 1:
7688 Alderbridge Way V6X 0P7
5619 Cedarbridge Way V6X 0P8
Richmond, BC

Phase 2:
7708 Alderbridge Way
7811 Lansdowne Road
Richmond, BC ",EPS4199,CZ
5526,"TEMPO (RESIDENTIAL SECTION)
Phase 1:
7688 Alderbridge Way V6X 0P7
5619 Cedarbridge Way V6X 0P8
Richmond, BC

Phase 2:
7708 Alderbridge Way
7811 Lansdowne Road
Richmond, BC ",EPS4199,CZ
5527,"TEMPO (COMMERCIAL SECTION)
7688 Alderbridge Way V6X 0P7
7708 Alderbridge Way V6X 2A2
Richmond, BC ",EPS4199,CKS
5528,"PARK ESTATES
8988 Patterson Road
Richmond, BC
V6X 0R2
",EPS4250,CF
5529,"CENTRAL ESTATES
3233 Ketcheson Road
Richmond, B.C.
V6X 0R3
",EPS4329,JL
5531,"ALTUS
4485 Skyline Drive
Burnaby, BC
V5C 0J2
",EPS3583,SR
5533,"TOWER GREEN AT WEST
159 West 2nd Avenue
Vancouver, BC
V5Y 0L8",EPS4169,GR
5534,"LOWER LONSDALE SYNERGY I
137-149 St. Patrick?s Avenue
North Vancouver, B.C. 
V7L 0E7
",EPS4078,"MC
(Admin Pool is Admin) "
5535,"ABBOTT PLACE - JOINT ONLY
233 Abbott Street
Vancouver, BC
V6B 2K7",LMS2412,SA
5536,"BINNING TOWER
3355 Binning Road
Vancouver, BC
V6S 0J1",EPS3494,CS
5537,"DIAMOND CLUB
8988 Patterson Road
Richmond, BC
V6X 0R2

",,TL
5541,"MONARCH
4427 Cambie Street
518 West 28th Avenue
Vancouver, BC
V5Z 2Y8",EPS4575,MB
5542,"JAMES WALK
168 East 35th Avenue
Vancouver, BC
V5W 1A6",EPS3680,KD
5544,"V6A
221 Union Street
Vancouver, BC
V6A 0B4",BCS3944,SC
5545,"CONCORD GARDENS PARK ESTATES AFFORDABLE HOUSING
8988 Patterson Road
Richmond, BC
V6X 0R2",EPS4725,"MR/CKS
(Katy L is Admin)"
"5547
5547E
5547W","NORTHWEST 

EAST TOWER (E)
8189 Cambie Street
Vancouver, B.C. V6P 0G6

WEST TOWER (W)
8238 Lord Street
Vanocuver, B.C. V6P 0G7",EPS4185,"HB/FY
(EJ is Admin)"
"5550
5550-C (Commercial Units)","THE GRAND AT LANSDOWNE - JOINT
5599 Cooney Road
Richmond, B.C. 
V6X 0N8 ",EPS4801,RY
5551,"THE GRAND AT LANSDOWNE - RESIDENTIAL SECTION
5599 Cooney Road
Richmond, B.C. 
V6X 0N8 ",EPS4801,RY
5552,"NEW HORIZON ESTATES
3190 Tahsis Avenue
Coquitlam, B.C. 
V3B 5C2",NW1668,KC
5553,"EASTON
617 Smith Avenue
Coquitlam, BC
V3J 0C3",EPS1326,PR
"5555
","THE CHARLESON
499 Pacific Street
Vancouver, BC
V6B 0N4",EPS4774,DC
"5556
5556A
5556B
5556C","AVANTI
8333 Sweet Avenue (Tower A)
3331 Brown Road (Tower B)
3333 Brown Road (Tower C)
Richmond, B.C. ",EPS3982,MC/TL
5557,"INGASTOWN
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,BL
5558,"UNION
518 Whiting Way
Coquitlam, B.C.
V3J 0H7
",EPS5100,SA
5560,"ALTITUDE
9060 University Crescent (V5A 0B7)
9080 University Crescent (V5A 0E1)
Burnaby, B.C.
",EPS2546,DC
"5563
5563-1 (7660 Minoru)
5563-2 (7680 Minoru)
5563-3 (7671 Abercrombie)
5563-4 (7651 Abercrombie)","BENTLEY WYND
7660 & 7680 Minoru Blvd 
7651 & 7671 Abercrombie Dr. 
Richmond, B.C. 
V5Y 1Z5 

",NW2361,BL
5564,"INGASTOWN - Residential 
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,BL
5565,"INGASTOWN - Commercial 
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,BL
5566,"THE RESIDENCES AT LYNN VALLEY (EF)
Building F -  1295 Conifer Street
 North Vancouver, B.C. V7J 0B4

Building E -  2738 Library Lane
 North Vancouver, B.C. V7J 0B3

2761, 2763, 2765, 2767, 2769 Mountain Hwy
North Vancouver, B.C. V7J 0B4
",EPS4092,SR
5567,"VERDANT
9191 University Crescent
Burnaby, B.C. 
V5A 0A1 
",BCS2284,BK
5571,"W1
West Tower - 455 SW Marine Drive Vancouver BC V5X 0H3
East Tower - 433 SW Marine Drive Vancouver BC V5X 0H5

Townhouse (West Tower) ? 8110, 8120 8130, 8180, 8182, 8188 Nunavut Lane Vancouver BC V5X 0H3
Townhouse (East Tower) ? 8081, 8083, 8085, 8087, 8093, 8095 Yukon Street Vancouver BC V5X 0H5",EPS5144,"CZ/FY
(CZ is PM)
(EJ is Admin)"
5573,"THE GRAND AT LANSDOWNE - COMMERCIAL SECTION
5599 Cooney Road
Richmond, B.C. 
V6X 0N8 ",EPS4801,RY
5574,"ELLE - JOINT
6533 Buswell Street
Richmond, BC
V6Y 0J6",EPS5474,"KZ
"
5575,"ELLE - RESIDENTIAL SECTION
6533 Buswell Street
Richmond, BC
V6Y 0J6",EPS5474,"KZ
"
"5576
(formerly 5738)","The Paramount Cost Share 

EPS8060
6388 No. 3 Road
Richmond, BC

EPS8061
6320 No. 3 Road
6328 No. 3 Road
8133 Cook Road
Richmond, BC

EPS8062
6386 No. 3 Road
Richmond, BC",N/A,CCS
5578,"LE SOLEIL - JOINT
567 Hornby Street
Vancouver, BC
V6C 3E8",LMS3837,"KN 
(AW is Admin)"
5579,"THE GRAYSON
489 West 26th Ave.
Vancouver, B.C. 
V5Y 0M8

Townhouses 481, 483, 485 & 487 West 26th Ave.
V5Z 2Y1",EPS5252,BL
5580,"NORQUAY NINE
2388 East 34th Avenue

5001, 5003, 5005, 5007, 5009, 5011, 5013, 5015 St. Margaret's Street

Vancouver, B.C. 
V5R 0H4
",EPS5366,"MC
(Admin Pool is Admin)"
5582,"BRYDON GREEN
19940 Brydon Crescent
Langley, B.C.
V3A 0K8
",EPS5632,PR
5583,"BROOKMERE 
530 Whiting Way
Coquitlam, B.C.
V3J 0J4 

",EPS5550,DC
5585,"THE REGENT AT KING EDWARD
523 W. King Edward Avenue

Townhouses:
531, 533, 535 & 537 W. King Edward Ave.
Vancouver, BC 
V5Z 0J3",EPS5493,BK
5587,"THE PARK
4900 Lennox Lane
Burnaby, B.C.
V5H 0G9

Townhouses:
6638, 6632, 6628, 6622, 6612 Nelson Ave
6671, 6673, 6675, 6677, 6679, 6681 Dunblane Ave 
Burnaby, B.C.
V5H 0G9",EPS4056,RY
5590,"SUNDIAL
4340 Sundial Place
Whistler, B.C.
V8E 1G5
",VR1570,TL
"5593
5593-C","THE EDGE
289 Alexander Street
Vancouver, B.C. 
V6A 4H6",LMS3818,CCS
"5594
5594N - 89 Nelson Street
5594S - 87 Nelson Street","THE ARC
North Tower - 89 Nelson Street
Vancouver, B.C.
V6Z 0E7

South Tower - 87 Nelson Street
Vancouver, B.C.
V6Z 0E8",EPS5890,JT
5595,"PRIME ON THE PLAZA
13438 Central Avenue
Surrey, B.C.
V3T 0N2
",EPS5579,GR
5596,"PARK ESTATES II 
3300 Ketcheson Road
Richmond, B.C.  
V6X 0S5
",EPS6022,JL
"5597
5597-1 (Hazelbridge)
5597-2 (Ketcheson)","SOUTH ESTATES 
3311 Ketcheson Road ? V6X 0S4
8800 Hazelbridge Way ? V6X 0S3
Richmond, B.C.  
",EPS6023,RY
5598,THE ARC COMMERCIAL,ASP,"CKS/CS
(Christie)"
5601,"CRISTALLO
828 Gauthier Avenue
Coquitlam, B.C.
V3K 0E9",EPS4769,EL
5603,"QUEEN'S LANDING
115 West Queens Road
North Vancouver B.C.
V7N 2K4",EPS5212,"MC
(Admin Pool is Admin)"
5604,"THE RESIDENCES AT WEST
1783 Manitoba Street
 Vancouver B.C.
V5Y 0K1",EPS2328,DC
5608,"SILVER OAK
1465, 1485 & 1490 Parkway Blvd.
Coquitlam, BC
V3E 3E6
2900, 2902, 2906, 2908, 2910, 2912, 2916, 2918, 2920, 2922, 2926, 2928, 2930, 2932, 2936, 2938, 2940, 2942, 2944 Panorama Drive
Coquitlam, BC V3E 3B4",LMS2058,KC
5609,"LINCOLN'S GATE
10620 150th Street
Surrey, B.C.
V3R 7S1

** UNITS 800 THRU 1318 ONLY **
Other units managed by other management companies; unit owner to confirm which.",NW1581,HB
5610,"TRIOMPHE
1888 Gilmore Avenue
Burnaby, BC
V5C 0L2

",EPS6099,"HB/DC 
(DC's Admin)"
5611,"THE GEORGIA EAST
20696 Eastleigh Crescent
Langley, B.C. 
V3A 0M3


",EPS6482,KD
5613,"ELEMENT 1
7131 17th Avenue
Burnaby, BC
V3N 1K8
",EPS6236,EL
5614,SOUTH ESTATES SAS (SEXSMITH ARTIST STUDIOS) UNITS,n/a,"MR/CKS
(Katy L is Admin)"
5615,"JUNEAU
4465 Juneau Street, 
Burnaby, B.C.
V5C 0L8
",EPS6618,CCS
5616,"CAPITOL
1001-1021 Quebec Street 
1012-1020 Auckland Street 
New Westminster, BC 
V3M 0M3
",EPS6050,SC
5618,"THE GEORGIA WEST
20686 Eastleigh Crescent 
Langley, B.C.
V3A 0M4
",EPS6483,HB
5619,"LINCOLN CENTER
3030 Lincoln Avenue
Coquitlam, BC
V3B 6B4",LMS2440,KC
5620,"HAWTHORNE
4988 Cambie Street 
Vancouver, BC
V5Z 2Z5 ",EPS6514,CZ
5621,"THE WELWYN
4413-4429 Welwyn Street
Vancouver, BC
V5N 3Z3",EPS6681,"MC
(Admin Pool is Admin)"
5626,"THE RESIDENCES AT LYNN VALLEY (ABCD)

Building A - 2780 Valley Centre Avenue
			North Vancouver, BC
				V7J 0C4

Building B - 	2785 Library Lane
				North Vancouver, BC
				V7J 0C3

Building C -	1210 East 27th Street
				North Vancouver, BC
				V7J 0C5

Building D - 	2707 Library Lane 
				North Vancouver, BC
V7J 0C6",EPS4096,SR
5627,"CRESTON - JOINT
1411-1415 Bewicke  
V7M 3C7
715 15th St W               
V7M 1T2
North Vancouver, BC",EPS5766,BK
5628,"CRESTON - RESIDENTIAL SECTION
1411-1415 Bewicke  
V7M 3C7
715 15th St W               
V7M 1T2
North Vancouver, BC",EPS5766,BK
5629,"BASALT
5058 Cambie Street
Vancouver, B.C. 
V5Z 2Z5
",EPS6589,BK
5631,"KINGS CROSSING III
7303 Noble Lane 
Burnaby, BC
V3N 0H2
",EPS4444,"CF
"
5632,"KING EDWARD VILLAGE II
4028 Knight Street
1432 Kingsway
Vancouver, BC
V5N5Y8 ",BCS2869,CS
5633,"ORCHID - JOINT
5580 No.3 Road 
Richmond, B.C. 
V6X 0R8
",EPS5182,CZ
5634,"ORCHID - RESIDENTIAL SECTION
5580 No.3 Road 
Richmond, B.C. 
V6X 0R8
",EPS5182,CZ
5635,"ORCHID - COMMERCIAL SECTION
5580 No.3 Road 
Richmond, B.C. 
V6X 0R8
",EPS5182,CZ
5636,"THE TRAILS
505, 515, 525 East 2nd Street
North Vancouver, BC
V7L 1E1

",EPS6372,"KD
"
5637,"ROSEDALE ON ROBSON 
838 Hamilton Street
Vancouver, BC 
V6B 6A2 

818, 828, 838, 848, 858, 868, 878 Hamilton Street
260, 270, 280, 290 Robson Street
Vancouver, BC",LMS1863,CS
5642,"RIVER
188 Wood Street
New Westminster, BC
V3M 5A4
",EPS3793,BL
5643,"PORTSIDE
488 Furness Street
New Westminster, BC
V3M 0M1
",EPS6825,DC
"5645
Newstar:
5681 Birney 5645-1
5629 Birney 5645-2","IVY ON THE PARK 
5629 Birney Avenue (Strata Lots 46-226)
5681 Birney Avenue (Strata Lots 1-45)
Vancouver, B.C.
V6S 0L5 


",EPS6944,DC
5651,"THE PEAK
8850 University Crescent
Burnaby, B.C.
V5A 0C8

",EPS5447,"KZ
(LPJ is Admin)"
5655,"MODA
6658 Dow Avenue 
Burnaby, BC 
V5H 0C7",EPS2219,FY
5656,"PROMENADE - JOINT
118 Carrie Cates Court 
North Vancouver, B.C. 
V7M 0G6",EPS6231,CF
5657,"PROMENADE - RESIDENTIAL SECTION
118 Carrie Cates Court 
North Vancouver, B.C. 
V7M 0G6",EPS6231,CF
"5658
Newstar:
5656-C","PROMENADE - COMMERCIAL  SECTION (EXPAND ROW FOR COMPLETE LIST OF UNITS)
CRU1 - 112 Carrie Cates Court
CRU2 - 114 Carrie Cates Court
CRU3 - 120 Carrie Cates Court
CRU4 - 122 Carrie Cates Court
CRU5 - 124 Carrie Cates Court
CRU6 - 126 Carrie Cates Court
CRU7 - 128 Carrie Cates Court
CRU8 - 129 West Esplanade
CRU9 - 125 West Esplanade
CRU10 - 123 West Esplanade
CRU11 - 121 West Esplanade
CRU12 - 122 West Esplanade
CRU13 - 127 West Esplanade
CRU14 - 115 West Esplanade
North Vancouver, B.C. 
V7M 0G6",EPS6231,SC
"5661
Newstar:
Phase 1: 9399 Alexandra Road 
Phase 2: 9311 Alexandra Road 
Phase 3: 9366 Tomicki Avenue
Phase 4: 9388 Tomicki Avenue ","ALEXANDRA COURT 
9311 Alexandra Road V6X 0L8 
9399 Alexandra Road V6X 0L7 
9366 Tomicki Avenue V6X 0N9 
9388 Tomicki Avenue V6X 0P1 
Richmond, B.C. ",EPS2669,"CF/TL
(BN is Admin)"
5663,"PARK HOUSE SOUTH
477 W 59th Avenue
Vancouver BC
V5X 1X4",EPS7549,LZ
"5664
Newstar:
5664-K: 6233 Katsura Joint 
5664-KA: 6233 Katsura Apartment 
5664-S: 9133 Hemlock Joint 
5664-SA:  9133 Hemlock Apartment ","KATSURA & SEQUOIA AT HAMPTONS PARK
9133 Hemlock Drive - V6Y 4J9
6233 Katsura Street - V6Y 4K1
Richmond, BC",BCS1060,JL
5666,"KINGS CROSSING OWNERS COMMITTEE (KCOC) AMENITY CLUB
",,BK
5672,"PARK BOULEVARD
Residential Building - 9887 Whalley Boulevard
Townhouses - 9861, 9863, 9867, 9869, 9881, 9883, 9887, 9889 Whalley Boulevard
Surrey, B.C. 
V3T 0P4",EPS7405,GR
5673,"AVENUE ONE 
Residential Tower - 1768 Cook Street, Vancouver, B.C. 
Townhouses
1718, 1728, 1738 Cook Street
208, 210, 212 West 1st Avenue
1755, 1765, 1775, 1785 Columbia Street
Vancouver, B.C. V5Y 0N3",EPS6841,JT
5674,"BORDEAUX
4488 Juneau Street
Burnaby, B.C. 
V5C 0M4",EPS7516,CF
5675,"THE BERESFORD
6288 Beresford Street
Burnaby, B.C. 
V5J 1K2",EPS7457,"MC
(Admin Pool is Admin)"
5676,"KINGS CROSSING 2
7358 Edmonds Street
Burnaby, B.C. 
V3N 0H1",EPS5758,"CZ

"
5677,"CEDAR CREEK
Phase 1 ? 7133 14th Avenue, Burnaby, BC V3N 0H5

Phase 2 ? 7169 14th Avenue, Burnaby, BC V3N 0H6

Phase 3 ? 7579 16th Street, Burnaby, BC V3N 0H7",EPS7638,"CKS/CS  
(Christie)"
5678,"KINGS CROSSING 1
7388 Kingsway
Burnaby, BC
V3N 0G9",EPS5757,SC
5679,"THE RESIDENCES AT WILLOUGHBY (PARCEL 3)
JOINT
20727 Willoughby Town Centre Drive
Langley, B.C. 
V2Y 1X1",EPS7877,SA
5681,"CIRRUS
2085 Skyline Court
Burnaby, B.C. 
V5C 0M6 ",EPS6726,"LZ/SR
(Vivian C. is Admin)"
5682,"HOLLOWAY AT THE BOROUGHS
2070 Oak Meadows Drive
Surrey, B.C.
V3Z 1J1",EPS7662,SA
5683,"SCOTT & NICHOLSON

Building A - Nicholson
6950 Nicholson Road
Delta, BC
V4E 0A8

Building B - Scott
6960 Nicholson Road
Delta, BC
V4E 0A9",EPS5983,EL
5684,"HARMONY
222, 224, 226, 228, 230 & 232 East 8th Street
North Vancouver, B.C. 
V7L 1Z1",EPS7928,"MC
(Admin Pool is Admin)"
5685,"THE LEX
1249 Granville Street
Vancouver, BC
V6Z 1M5",BCS336,"KZ
"
5688,"LUMA
6688 Arcola Street
Burnaby, BC
V5E 0B3",BCS4066,RY
5689,"TSAWWASSEN LANDING
4738 Hemlock Way
4662 Hemlock Way
Tsawwassen, B.C. 
V4M 0E3

",EPS7865,CL
5690,"ONE BURRARD PLACE
(RESIDENTIAL STRATA)
1289 Hornby Street
 Vancouver, B.C. 
V6Z 0G7",EPS8296,JT
5691,"ONE BURRARD PLACE
(OFFICE STRATA) 
1281 Hornby Street
Vancouver, BC 
V6Z 0G8",EPS8297,SA
5692,"CLUB ONE
1289 Hornby Street
 Vancouver, B.C. 
V6Z 1W2",,JT
5693,"1335 HOWE
1335 Howe Street
Vancouver, B.C. 
V6Z 0H1",EPS8387,"DC

"
5695,"BRIDGEPORT BUSINESS CENTER
2777 Jow Street
Richmond, BC",EPS9314,MC
5699,"HILLSIDE WEST
Tower 1 (West)
4720 Lougheed Highway
Burnaby, B.C. V5C 0M8

Tower 2 (East)
4730 Lougheed Highway
Burnaby, B.C. V5C 0M9",EPS8443,JT
5700,"MCKENZIE MEWS
2267 McKenzie Road
Abbotsford, BC
V2S 0M9 ",EPS8529,CG
5702,"ALBA
2345 Rindall Avenue
Port Coquitlam, BC
V3C 0T1",EPS8757,SA
5704,"BELMONT PARK
8540 Citation Drive
TH: 8500, 8510, 8520, 8530, 8550, 8560, 8570 & 8580 Citation Drive
Richmond, BC
V6Y 3A3",NW1374,CF
5705,"THE JERICHO
20362 - 72B Avenue 
Langley, BC 
V2Y 5K4",EPS8883,SA
5706,"BEXLEY AT THE BOROUGHS
2075 Oak Meadows Drive 
Surrey, BC
V3Z 1J6",EPS7678,EL
5708,"EPS5393 (2RPP ASP3)
6928 Pearson Way
Richmond, BC
V7C 0C9",EPS5393,CCS
"5709
5709-E (3038 St. George)
5709-W (3018 St. George) ","GEORGE
3018 & 3038 St George Street 
Port Moody, BC
V3H 0L3",EPS6752,KD
5710,"EPS5394 (ASP 4)
6928 Pearson Way
Richmond, B.C.
V7C 0C9",EPS5394,CCS
5711,"CEDAR CREEK 2 ? THE SIGNATURE COLLECTION
7588 16th Street, Burnaby, BC V3N 0H8
7599 15th Street, Burnaby, BC V3N 0H9",EPS8576,"SR/SB
(SR is Senior PM)
(Vivian C. is Admin)"
5712,"TSAWWASSEN WELLNESS CENTRE
2221 Cormorant Drive
Tsawwassen, BC",,CL
5714,"CHANNEL
629 S Dyke Road, New Westminster",EPS8884,SY
5715,"SAVOY
4240 Cambie Street
Vancouver, BC, V5Z 0K6 ",EPS9089,SY
"5717
Phase 1: 15835 85 Avenue
Phase 2: 15825 85 Avenue
Phase 3: 15858 Fraser Highway
Phase 4: 15815 85 Avenue
Phase 5: 15848 Fraser Highway","FLEETWOOD VILLAGE 
15835 85 Avenue, Surrey, BC V4N 6W6
15825 85 Avenue, Surrey, BC V4N 6W9
15858 Fraser Highway
15815 85 Avenue
15848 Fraser Highway
Surrey, BC",EPS8270,JL
"5718
5718-1: 6320 No. 3 Road
5718-2: 6328 No. 3 Road
5718-3: 8133 Cook Road","PARAMOUNT
6320 No. 3 Road, Richmond, BC V6Y 0L5
6328 No. 3 Road, Richmond, BC V6Y 0L6 
8133 Cook Road, Richmond, BC V6Y 0L7
",EPS8061,"RY
"
5719,"CLARKE + COMO
567 Clarke Road
Coquitlam, BC
V3J 0K7",EPS7495,JL
5720,"PATINA
1028 Barclay Street
Vancouver, BC
V6E 0B1",BCS4016,SB
5721,"PORT & MILL
645 Como Lake Avenue 
 Coquitlam, BC
V3J 0N9
 648 Lea Avenue 
Coquitlam, BC
V3J 0P1",EPS9407,CL
5722,"GALLERIA AT CONCORD GARDENS RENTAL HOUSING UNITS

8555 Capstan Way
Richmond, BC
V6X 0W1

8668 Hazelbridge Way
Richmond, BC
V6X 0W2",EPS9131,"MR/CKS
(Katy L is Admin)"
5723,"ALASKA
4433 Alaska Street, Burnaby, B.C. 
V5C 0N3",EPS9413,DC
"5724
5724-JT (TH Units 1-24) 
5724-JT: 9180 Hemlock Drive
5724-1: 9180 Hemlock
5724-2: 9188 Hemlock","MAGNOLIA AND CASUARINA AT HAMPTONS PARK
9180 Hemlock Drive ? V6Y 4J5
9188 Hemlock Drive ? V6Y 4J7
Richmond, BC",BCS1691,JL
5725,"LEGACY ON DUNBAR (RESIDENTIAL)
3596 West 28th Avenue
Vancouver, B.C. 
V6S 2G5",EPS9531,"KN
(AW is Admin)"
5726,"LEGACY ON DUNBAR (COMMERCIAL REMAINDER)
4402 ? 4498 Dunbar Street
Vancouver, B.C. 
V6S 2G5",EPS9532,"KN
(AW is Admin)"
5730,"RIVER PARK 2
ASP 5
105 & 110 6968 Pearson Way
Richmond, BC
V7C 0C8",EPS5395,CCS
5731,"AVANA
678 Fairview Street 
Coquitlam, B.C.
V3J 0N1",EPS6996,SY
5732,"PRESTON
32690 - 14th Avenue
Mission, BC 
V2V 0K5",EPS9773,CG
5733,"THE BOROUGHS AMENITIES
(Shared Amenities in Holloway, Bexley and Chelsea)",n/a,SA
5734,"E15 JUST OFF MAIN
322 East 15th Avenue

Townhomes
302, 304, 306, 308, 310, 312, 314, 316, 318, 320, 324, 326, 328, 330, 332, 334, 336, 338, 340 East 15th Avenue
 3130, 3132, 3134, 3136, 3138, 3140 Sophia Street
Vancouver, BC",EPS9925,HB
5735,"WEMBLEY
4991 No. 5 Road
Richmond, B.C. 
V6X 0S9",EPS5423,"KZ
"
5736,"THE PARAMOUNT OFFICE
6388 No. 3 Road
Richmond, BC
V6Y 0L4",EPS8060,CCS
5737,"THE NEWMARK 
(Residential Section)
4888 Hazel Street
Burnaby, BC
V5H 4T4",LMS3131,MC
5739,"HILLSIDE EAST
4880 Lougheed Highway 
Burnaby, B.C. V5C 0N1
4890 Lougheed Highway 
Burnaby, B.C. V5C 0N2",EPS8519,FY
5741,"THE COLLECTION
3261, 3263, 3269, 3277, 3283, 3285, 3287, 3289, 3293, 3299 Chippendale Road
West Vancouver",EPS8014,"MC
(Admin Pool is Admin)"
5742,"CEDAR GROVE
Building A ? 15238 100 Avenue, Surrey, BC, V3R 7T9
Building B ? 15268 100 Avenue, Surrey, BC, V3R 7V1
Building C ? 15288 100 Avenue, Surrey, BC, V3R 7V2",NW1676,SC
5743,"CASCADIA
6951 204 Street
Langley, BC
V2Y 3W4",EPS9777,CL
